시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,해제사유발생일
경기도 광명시 광명동,1*,대,제2종일반주거지역,12m미만,201601,4,148.4,"30,000", ,
경기도 광명시 가학동,5**,도로,제1종일반주거지역,8m미만,201601,5,46,"3,400", ,
경기도 광명시 가학동,2**,전,준주거지역,12m미만,201601,5,109,"4,950",지분,
경기도 광명시 가학동,6**,전,중심상업지역,25m이상,201601,5,640,"49,000", ,
경기도 광명시 가학동,5**,도로,제1종일반주거지역,8m미만,201601,5,76,"5,600", ,
경기도 광명시 가학동,2**,전,개발제한구역,-,201601,6,2860,"146,000", ,
경기도 광명시 노온사동,9**,잡종지,자연녹지지역,25m이상,201601,7,407,"47,049", ,
경기도 광명시 노온사동,3**,전,제2종일반주거지역,-,201601,7,1458,"49,500", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201601,7,89,"5,000",지분,
경기도 광명시 노온사동,3**,전,제3종일반주거지역,8m미만,201601,9,621,"26,000", ,
경기도 광명시 가학동,8**,임야,일반상업지역,8m미만,201601,11,6457,"117,000", ,
경기도 광명시 가학동,1**,전,준주거지역,12m미만,201601,11,4924,"178,000", ,
경기도 광명시 노온사동,산1**,임야,자연녹지지역,8m미만,201601,12,165.3,"2,350",지분,
경기도 광명시 하안동,5**,임야,개발제한구역,8m미만,201601,15,476,"12,500", ,
경기도 광명시 가학동,4**,전,제1종일반주거지역,8m미만,201601,18,374,"42,000",지분,
경기도 광명시 노온사동,8**,답,제2종전용주거지역,8m미만,201601,18,1593,"47,000", ,
경기도 광명시 노온사동,8**,답,제2종전용주거지역,8m미만,201601,19,1008,"30,500", ,
경기도 광명시 일직동,산7*,임야,개발제한구역,-,201601,20,1917.5,"12,760",지분,
경기도 광명시 일직동,산7*,임야,개발제한구역,-,201601,20,36.5,240,지분,
경기도 광명시 가학동,2**,전,자연녹지지역,8m미만,201601,21,1143,"62,280", ,
경기도 광명시 광명동,2**,도로,준주거지역,12m미만,201601,23,150.67,"12,500",지분,
경기도 광명시 광명동,2**,도로,제2종일반주거지역,8m미만,201601,23,282,"18,500", ,
경기도 광명시 옥길동,3**,도로,제1종일반주거지역,8m미만,201601,25,60,"1,750", ,
경기도 광명시 노온사동,4**,도로,제1종일반주거지역,8m미만,201601,25,35,"3,000", ,
경기도 광명시 노온사동,4**,전,제1종일반주거지역,-,201601,25,88,"4,000", ,
경기도 광명시 노온사동,4**,전,제3종일반주거지역,-,201601,25,188,"6,000", ,
경기도 광명시 가학동,1***,임야,제1종일반주거지역,25m미만,201601,26,805,"110,000", ,
경기도 광명시 소하동,2**,전,제1종일반주거지역,25m이상,201602,1,2200,"220,000",지분,
경기도 광명시 가학동,5*,전,자연녹지지역,-,201602,2,1833,"39,841", ,
경기도 광명시 광명동,2**,대,제2종일반주거지역,8m미만,201602,3,17,"2,670", ,
경기도 광명시 하안동,8**,대,제1종일반주거지역,8m미만,201602,3,267.7,"62,500", ,
경기도 광명시 광명동,2**,전,제2종일반주거지역,8m미만,201602,4,4,600, ,
경기도 광명시 노온사동,6**,답,자연녹지지역,-,201602,10,1395,"37,980", ,
경기도 광명시 가학동,1***,전,제1종일반주거지역,8m미만,201602,15,426,"52,400", ,
경기도 광명시 노온사동,5**,도로,제1종일반주거지역,8m미만,201602,16,20,619, ,
경기도 광명시 노온사동,3**,대,제1종일반주거지역,12m미만,201602,17,213,"64,000", ,
경기도 광명시 가학동,9**,전,제3종일반주거지역,8m미만,201602,19,573,"20,760", ,
경기도 광명시 광명동,1**,도로,준주거지역,8m미만,201602,22,11.6,"4,025", ,
경기도 광명시 가학동,9**,답,자연녹지지역,-,201602,23,100,"3,000", ,
경기도 광명시 가학동,8**,대,제3종일반주거지역,8m미만,201602,25,1217,"55,000", ,
경기도 광명시 노온사동,5**,전,제1종일반주거지역,-,201602,26,704,"42,644", ,
경기도 광명시 노온사동,산9*,임야,제3종일반주거지역,-,201602,27,2380,"29,500", ,
경기도 광명시 옥길동,9*,전,준주거지역,-,201602,29,484.5,"16,115",지분,
경기도 광명시 가학동,6**,답,자연녹지지역,8m미만,201603,2,1924,"50,000", ,
경기도 광명시 가학동,8**,도로,개발제한구역,8m미만,201603,3,22,"1,400", ,
경기도 광명시 옥길동,4*,도로,제1종일반주거지역,8m미만,201603,4,18,"1,000", ,
경기도 광명시 옥길동,4*,도로,제1종일반주거지역,8m미만,201603,4,28,"1,500",지분,
경기도 광명시 옥길동,4*,도로,제1종일반주거지역,8m미만,201603,4,55,"3,000",지분,
경기도 광명시 가학동,8**,답,자연녹지지역,-,201603,5,1620,"33,700", ,
경기도 광명시 노온사동,9**,잡종지,자연녹지지역,8m미만,201603,7,784,"32,497", ,
경기도 광명시 가학동,8**,답,제1종일반주거지역,-,201603,10,2562,"75,000", ,
경기도 광명시 가학동,5**,전,준주거지역,12m미만,201603,14,661,"56,000",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201603,14,610.5,"6,475",지분,
경기도 광명시 일직동,산4*,임야,개발제한구역,-,201603,15,11916,"200,000", ,
경기도 광명시 하안동,7**,전,개발제한구역,8m미만,201603,18,634,"15,000", ,
경기도 광명시 노온사동,산1**,임야,제3종일반주거지역,25m이상,201603,21,2462,"20,860", ,
경기도 광명시 노온사동,2**,대,제1종일반주거지역,8m미만,201603,21,258,"28,000", ,
경기도 광명시 가학동,5*,답,자연녹지지역,8m미만,201603,23,2469,"62,500", ,
경기도 광명시 노온사동,1**,답,제2종일반주거지역,8m미만,201603,26,522,"37,800", ,
경기도 광명시 하안동,6**,임야,개발제한구역,-,201603,28,1699,"25,000", ,
경기도 광명시 광명동,1**,대,제2종일반주거지역,8m미만,201603,28,56.05,"25,425",지분,
경기도 광명시 노온사동,3**,전,제3종일반주거지역,-,201603,28,970,"37,500", ,
경기도 광명시 가학동,산1**,임야,준주거지역,8m미만,201603,30,165,"2,250",지분,
경기도 광명시 노온사동,6**,전,제1종일반주거지역,8m미만,201603,30,727,"86,160", ,
경기도 광명시 일직동,산1*,임야,개발제한구역,-,201604,4,1245.13,500,지분,
경기도 광명시 소하동,1***,대,용도미지정,-,201604,5,4799.9,"1,028,948", ,
경기도 광명시 소하동,9**,대,제2종일반주거지역,12m미만,201604,6,660,"134,000", ,
경기도 광명시 가학동,7**,전,제3종일반주거지역,25m미만,201604,7,223,"13,400", ,
경기도 광명시 광명동,7**,잡종지,제2종일반주거지역,8m미만,201604,7,156.22,"14,000",지분,
경기도 광명시 옥길동,4**,도로,자연녹지지역,8m미만,201604,7,82,"3,000", ,
경기도 광명시 옥길동,4**,도로,개발제한구역,8m미만,201604,7,11,500, ,
경기도 광명시 옥길동,4**,도로,개발제한구역,8m미만,201604,7,9,500, ,
경기도 광명시 철산동,4**,잡종지,제2종일반주거지역,8m미만,201604,8,33,"25,000",지분,
경기도 광명시 옥길동,2**,답,제3종일반주거지역,25m이상,201604,8,576,"33,060", ,
경기도 광명시 광명동,4*,도로,제2종일반주거지역,12m미만,201604,8,66,"4,356", ,
경기도 광명시 노온사동,1**,임야,제3종일반주거지역,-,201604,11,1000,"15,000", ,
경기도 광명시 노온사동,1**,임야,제3종일반주거지역,12m미만,201604,11,378,"7,500", ,
경기도 광명시 가학동,산3*,임야,준주거지역,12m미만,201604,12,175.3,"1,000",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,8m미만,201604,12,18.57,200,지분,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201604,12,438.58,"3,000",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201604,12,70.56,300,지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201604,12,95.08,500,지분,
경기도 광명시 소하동,3**,전,제1종일반주거지역,8m미만,201604,13,649.5,"66,500",지분,
경기도 광명시 가학동,4**,대,제1종일반주거지역,8m미만,201604,14,700,"100,000", ,
경기도 광명시 가학동,4**,대,제1종일반주거지역,8m미만,201604,14,976,"140,000", ,
경기도 광명시 소하동,1***,대,일반상업지역,25m미만,201604,15,10,"1,150", ,
경기도 광명시 광명동,1**,도로,제2종일반주거지역,8m미만,201604,15,5,310, ,
경기도 광명시 가학동,8**,도로,제1종일반주거지역,8m미만,201604,15,10,700, ,
경기도 광명시 노온사동,5**,도로,제1종일반주거지역,8m미만,201604,18,87,"11,000", ,
경기도 광명시 노온사동,5**,도로,제1종일반주거지역,8m미만,201604,18,41,"5,000", ,
경기도 광명시 노온사동,5**,전,제1종일반주거지역,8m미만,201604,18,610,"50,000", ,
경기도 광명시 옥길동,3**,전,제3종일반주거지역,8m미만,201604,18,1286,"54,460", ,
경기도 광명시 광명동,2**,도로,제2종일반주거지역,12m미만,201604,19,26,"1,800", ,
경기도 광명시 노온사동,6**,전,자연녹지지역,8m미만,201604,19,1396,"56,860", ,
경기도 광명시 가학동,8**,전,자연녹지지역,8m미만,201604,20,3726,"112,700", ,
경기도 광명시 하안동,산8*,임야,자연녹지지역,-,201604,20,1323,"14,000", ,
경기도 광명시 소하동,8**,잡종지,제2종일반주거지역,12m미만,201604,21,1.77,229,지분,
경기도 광명시 소하동,1***,대,제1종전용주거지역,12m미만,201604,25,305.9,"59,000", ,
경기도 광명시 철산동,7*,도로,제2종일반주거지역,8m미만,201604,26,39,"2,160", ,
경기도 광명시 옥길동,1**,임야,자연녹지지역,-,201604,26,1001,"26,000", ,
경기도 광명시 노온사동,6**,답,제3종일반주거지역,-,201604,26,1002,"29,500", ,
경기도 광명시 가학동,2**,전,개발제한구역,8m미만,201604,27,297,"12,568", ,
경기도 광명시 가학동,2**,전,개발제한구역,8m미만,201604,27,765,"32,372", ,
경기도 광명시 광명동,4**,전,준주거지역,8m미만,201604,28,1984,"155,000", ,
경기도 광명시 노온사동,1**,답,개발제한구역,12m미만,201604,28,740.5,"45,200",지분,
경기도 광명시 소하동,2**,전,개발제한구역,12m미만,201605,2,1216,"124,000", ,
경기도 광명시 소하동,8**,잡종지,제2종일반주거지역,12m미만,201605,3,1.77,300,지분,
경기도 광명시 광명동,3*,도로,제2종일반주거지역,8m미만,201605,9,24.5,"1,000", ,
경기도 광명시 소하동,1***,대,일반상업지역,25m미만,201605,9,601.4,"265,217", ,
경기도 광명시 옥길동,1**,도로,제1종일반주거지역,8m미만,201605,10,83,"5,000", ,
경기도 광명시 가학동,4**,도로,제1종일반주거지역,8m미만,201605,12,30,"1,513", ,
경기도 광명시 노온사동,3**,임야,제3종일반주거지역,8m미만,201605,15,1289,"35,900", ,
경기도 광명시 옥길동,2**,답,제3종일반주거지역,25m이상,201605,16,205,"10,000", ,
경기도 광명시 가학동,3**,전,준주거지역,12m미만,201605,17,475,"33,000", ,
경기도 광명시 노온사동,3**,전,제1종일반주거지역,-,201605,19,11,"2,000", ,
경기도 광명시 가학동,1**,답,준주거지역,-,201605,20,529,"14,000", ,
경기도 광명시 소하동,1**,도로,제1종일반주거지역,8m미만,201605,20,2,143, ,
경기도 광명시 소하동,1**,도로,제1종일반주거지역,8m미만,201605,20,12,857, ,
경기도 광명시 가학동,1**,답,개발제한구역,12m미만,201605,21,1481,"114,000", ,
경기도 광명시 가학동,5**,도로,준주거지역,12m미만,201605,23,11,105, ,
경기도 광명시 가학동,1**,답,준주거지역,-,201605,23,529,"16,368",지분,
경기도 광명시 가학동,1**,전,준주거지역,8m미만,201605,23,105.2,"2,896",지분,
경기도 광명시 가학동,1**,답,준주거지역,-,201605,23,191.8,"4,899",지분,
경기도 광명시 가학동,1**,전,준주거지역,8m미만,201605,23,162.6,"5,206",지분,
경기도 광명시 가학동,1**,답,준주거지역,-,201605,23,191.8,"5,935",지분,
경기도 광명시 가학동,1**,전,준주거지역,-,201605,24,617,"16,960",지분,
경기도 광명시 노온사동,3**,전,제3종일반주거지역,8m미만,201605,24,1322,"55,000", ,
경기도 광명시 옥길동,7*,전,자연녹지지역,-,201605,25,256,"10,000", ,
경기도 광명시 가학동,산2*,임야,준주거지역,8m미만,201605,25,665,"15,628", ,
경기도 광명시 가학동,1**,전,개발제한구역,-,201605,25,510,"16,000", ,
경기도 광명시 가학동,산2*,임야,개발제한구역,12m미만,201605,25,4804,"27,877", ,
경기도 광명시 가학동,산2*,임야,자연녹지지역,-,201605,25,487,"3,726", ,
경기도 광명시 가학동,산2*,임야,자연녹지지역,8m미만,201605,25,478,526, ,
경기도 광명시 가학동,산3*,임야,준주거지역,12m미만,201605,26,140.28,"1,303",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,8m미만,201605,26,14.86,266,지분,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201605,26,350.97,"3,339",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201605,26,56.47,450,지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201605,26,76.09,642,지분,
경기도 광명시 소하동,9**,도로,제2종일반주거지역,8m미만,201605,27,5,500, ,
경기도 광명시 가학동,7*,전,준주거지역,8m미만,201605,28,1203,"43,600", ,
경기도 광명시 가학동,6*,전,자연녹지지역,-,201605,30,661,"13,000",지분,
경기도 광명시 가학동,8**,대,제1종일반주거지역,-,201606,2,988,"128,050", ,
경기도 광명시 가학동,8**,전,제1종일반주거지역,-,201606,2,988,"128,050", ,
경기도 광명시 옥길동,7*,전,준주거지역,-,201606,6,952,"38,800", ,
경기도 광명시 옥길동,8*,전,준주거지역,-,201606,6,1177,"48,000", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201606,7,1,30, ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201606,7,17,470, ,
경기도 광명시 가학동,7**,전,준주거지역,8m미만,201606,14,2103,"101,000", ,
경기도 광명시 하안동,2**,잡종지,제1종일반주거지역,8m미만,201606,15,99,"20,000", ,
경기도 광명시 하안동,2**,도로,제1종일반주거지역,8m미만,201606,15,32,"5,000", ,
경기도 광명시 일직동,3**,대,개발제한구역,25m이상,201606,15,163,"52,000", ,
경기도 광명시 하안동,2**,대,제1종일반주거지역,8m미만,201606,15,195,"58,000", ,
경기도 광명시 하안동,2**,전,제1종일반주거지역,8m미만,201606,15,335,"70,000", ,
경기도 광명시 일직동,3**,전,개발제한구역,25m이상,201606,15,55,"8,000", ,
경기도 광명시 광명동,2**,도로,제2종일반주거지역,8m미만,201606,16,9,472, ,
경기도 광명시 가학동,6*,전,자연녹지지역,-,201606,17,694,"14,280",지분,
경기도 광명시 가학동,7**,전,준주거지역,8m미만,201606,17,940,"28,400", ,
경기도 광명시 소하동,1***,대,일반상업지역,25m이상,201606,17,6068.1,"3,089,270", ,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201606,20,112.94,"1,194",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201606,20,152.17,"1,608",지분,
경기도 광명시 철산동,4**,대,제2종일반주거지역,8m미만,201606,20,2.35,150,지분,
경기도 광명시 가학동,산3*,임야,준주거지역,12m미만,201606,20,280.56,"2,968",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,8m미만,201606,20,29.72,312,지분,
경기도 광명시 노온사동,5**,답,제3종일반주거지역,-,201606,20,1808,"50,000", ,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201606,20,701.94,"7,428",지분,
경기도 광명시 광명동,1**,도로,준주거지역,8m미만,201606,21,11,"1,100", ,
경기도 광명시 가학동,8*,답,개발제한구역,-,201606,21,793,"38,400", ,
경기도 광명시 광명동,1**,도로,준주거지역,8m미만,201606,21,4,400, ,
경기도 광명시 가학동,산4*,임야,준주거지역,8m미만,201606,22,51.99,"1,135",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201606,22,197.6,"1,933",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201606,22,1228.13,"14,316",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201606,22,266.24,"2,689",지분,
경기도 광명시 가학동,산3*,임야,준주거지역,12m미만,201606,22,490.87,"5,615",지분,
경기도 광명시 가학동,1**,전,자연녹지지역,-,201606,23,1322,"61,000", ,
경기도 광명시 가학동,8**,전,일반상업지역,8m미만,201606,24,1226,"35,000", ,
경기도 광명시 광명동,3**,잡종지,제2종일반주거지역,8m미만,201606,24,98,"7,500", ,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201606,27,6446,"21,450", ,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201606,27,8926,"29,700", ,
경기도 광명시 가학동,1**,전,개발제한구역,8m미만,201606,27,152,"7,222", ,
경기도 광명시 가학동,1**,전,개발제한구역,8m미만,201606,27,1538,"73,005", ,
경기도 광명시 가학동,8**,전,일반상업지역,25m미만,201606,29,1881,"94,000", ,
경기도 광명시 하안동,3**,전,개발제한구역,8m미만,201607,1,1686,"70,000", ,
경기도 광명시 광명동,3*,대,준주거지역,25m이상,201607,6,872.8,"480,000", ,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201607,7,14975,"77,010", ,
경기도 광명시 가학동,4**,도로,제1종일반주거지역,8m미만,201607,8,23,"1,000", ,
경기도 광명시 하안동,3**,전,개발제한구역,25m이상,201607,8,1184,"121,000", ,
경기도 광명시 하안동,3**,전,개발제한구역,25m이상,201607,8,128,"13,000", ,
경기도 광명시 소하동,3**,전,제1종일반주거지역,-,201607,8,364,"32,000", ,
경기도 광명시 가학동,4**,전,제1종일반주거지역,8m미만,201607,8,745,"55,000", ,
경기도 광명시 가학동,산3*,임야,준주거지역,12m미만,201607,12,1052.2,"11,085",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,8m미만,201607,12,111.45,"2,241",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,12m미만,201607,12,2632.53,"28,264",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201607,12,423.55,"3,816",지분,
경기도 광명시 가학동,산4*,임야,준주거지역,-,201607,12,570.7,"5,309",지분,
경기도 광명시 노온사동,4**,전,자연녹지지역,8m미만,201607,14,317,"15,000", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,18,24,"2,600", ,
경기도 광명시 노온사동,*,전,개발제한구역,25m미만,201607,18,926,"62,700", ,
경기도 광명시 하안동,8**,대,제1종일반주거지역,12m미만,201607,18,302.1,"70,000", ,
경기도 광명시 가학동,산1**,임야,준주거지역,8m미만,201607,19,66,"1,200", ,
경기도 광명시 가학동,산1**,임야,준주거지역,8m미만,201607,19,330,"6,000", ,
경기도 광명시 가학동,9**,대,제1종일반주거지역,8m미만,201607,20,259,"29,500", ,
경기도 광명시 광명동,2*,도로,제2종일반주거지역,8m미만,201607,21,6,350, ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,25,22.25,"1,241", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,25,36,"3,850", ,
경기도 광명시 소하동,3*,도로,제2종일반주거지역,8m미만,201607,26,20,"1,068", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,26,22.25,"1,240", ,
경기도 광명시 소하동,3*,도로,제2종일반주거지역,8m미만,201607,26,39,"2,082", ,
경기도 광명시 가학동,7*,전,자연녹지지역,-,201607,26,826,"34,000", ,
경기도 광명시 소하동,3*,도로,제2종일반주거지역,8m미만,201607,26,9,480, ,
경기도 광명시 소하동,3**,대,제1종일반주거지역,-,201607,27,41,"7,200", ,
경기도 광명시 하안동,산1**,임야,제1종일반주거지역,-,201607,28,86,"10,300", ,
경기도 광명시 철산동,4**,잡종지,제2종일반주거지역,8m미만,201607,28,66,"14,000",지분,
경기도 광명시 철산동,4**,잡종지,제2종일반주거지역,8m미만,201607,29,66,"14,000",지분,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,29,24,"2,910", ,
경기도 광명시 광명동,3**,도로,제2종일반주거지역,8m미만,201607,29,40,"4,840", ,
경기도 광명시 가학동,8*,전,준주거지역,8m미만,201607,29,2438,"79,648", ,
경기도 광명시 소하동,1***,대,제1종전용주거지역,12m미만,201608,3,269,"58,500", ,
경기도 광명시 노온사동,7**,전,제2종일반주거지역,8m미만,201608,4,395,"15,000", ,
경기도 광명시 옥길동,3**,답,제1종일반주거지역,25m이상,201608,8,889,"129,000", ,
경기도 광명시 옥길동,2**,답,제3종일반주거지역,25m이상,201608,11,551,"35,000", ,
경기도 광명시 철산동,4**,잡종지,제2종일반주거지역,8m미만,201608,13,898.66,"59,800", ,
경기도 광명시 광명동,2**,도로,제2종일반주거지역,8m미만,201608,14,9,550, ,
경기도 광명시 하안동,5**,전,개발제한구역,8m미만,201608,16,121,"1,800", ,
경기도 광명시 하안동,2**,잡종지,제1종일반주거지역,8m미만,201608,16,78,"19,500", ,
경기도 광명시 하안동,2**,도로,제1종일반주거지역,8m미만,201608,16,19,"3,500",지분,
경기도 광명시 하안동,2**,잡종지,제1종일반주거지역,-,201608,16,17,"4,300", ,
경기도 광명시 하안동,2**,전,제1종일반주거지역,8m미만,201608,16,227,"57,700", ,
경기도 광명시 가학동,3**,대,제1종일반주거지역,-,201608,17,27,"4,800", ,
경기도 광명시 가학동,3**,대,제1종일반주거지역,8m미만,201608,17,408,"62,000", ,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,165,"1,544",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,198,"2,132",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,198,"2,132",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,228,"2,452",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,298,"3,199",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,330,"3,554",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,429,"4,620",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,495,"5,277",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,499,"5,367",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,535,"5,758",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,558,"6,006",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,20,595,"6,333",지분,
경기도 광명시 광명동,4**,전,제2종일반주거지역,12m미만,201608,22,109.67,"11,890",지분,
경기도 광명시 철산동,4**,잡종지,제2종일반주거지역,8m미만,201608,22,14,"2,200",지분,
경기도 광명시 가학동,6**,전,자연녹지지역,25m이상,201608,22,1330,"90,000", ,
경기도 광명시 광명동,1**,도로,제2종일반주거지역,8m미만,201608,25,15.8,"1,100", ,
경기도 광명시 소하동,8**,대,제2종일반주거지역,12m미만,201608,25,1.77,235,지분,
경기도 광명시 광명동,산1**,임야,개발제한구역,-,201608,26,6991,"21,149", ,
경기도 광명시 광명동,산1**,임야,개발제한구역,-,201608,26,7626,"23,068",지분,
경기도 광명시 노온사동,4**,전,개발제한구역,8m미만,201608,26,826,"25,000", ,
경기도 광명시 광명동,6**,임야,자연녹지지역,8m미만,201608,26,1091,"3,300",지분,
경기도 광명시 광명동,산1**,임야,개발제한구역,-,201608,26,3306,"9,999",지분,
경기도 광명시 노온사동,9**,답,자연녹지지역,8m미만,201608,29,152,"13,500", ,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,66,"1,043",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,99,"1,055",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,661,"11,547",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,165,"2,798",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,165,"2,886",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,330,"3,590",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,423,"4,549",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,495,"5,331",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,331,"5,380",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,330,"5,772",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,539,"5,792",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,539,"5,793",지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,555,"5,971",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201608,30,33,577,지분,
경기도 광명시 하안동,산4*,임야,개발제한구역,-,201608,30,66,711,지분,
경기도 광명시 소하동,8**,도로,제2종일반주거지역,12m미만,201608,31,17,500, ,
경기도 광명시 소하동,8**,전,제1종일반주거지역,12m미만,201608,31,737,"55,000", ,
경기도 광명시 노온사동,5**,전,자연녹지지역,12m미만,201608,31,843,"63,000", ,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,1,82,"1,373",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,1,99,"1,631",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,1,182,"2,974",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,1,330,"5,802",지분,
경기도 광명시 광명동,3**,전,제2종일반주거지역,8m미만,201609,5,102,"14,730", ,
경기도 광명시 일직동,산6*,임야,개발제한구역,-,201609,6,2314.06,"31,458",지분,
경기도 광명시 광명동,6**,전,자연녹지지역,8m미만,201609,6,3034,"92,500", ,
경기도 광명시 노온사동,5**,답,자연녹지지역,-,201609,7,1236,"27,800", ,
경기도 광명시 노온사동,5**,전,자연녹지지역,-,201609,7,1299,"29,200", ,
경기도 광명시 일직동,산6*,임야,개발제한구역,-,201609,7,165,"7,450",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,132,"2,163",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,165,"2,916",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,231,"4,082",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,231,"4,089",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,330,"5,772",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,10,330,"5,831",지분,
경기도 광명시 광명동,6**,도로,자연녹지지역,25m이상,201609,10,182,"8,000", ,
경기도 광명시 일직동,산6*,임야,개발제한구역,-,201609,13,99,"4,470",지분,
경기도 광명시 노온사동,2**,전,자연녹지지역,8m미만,201609,18,657,"22,880", ,
경기도 광명시 일직동,산6*,임야,개발제한구역,-,201609,19,165,"7,450",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,165,"2,827",지분,
경기도 광명시 하안동,2**,임야,개발제한구역,-,201609,20,1273,"25,870", ,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,231,"4,041",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,331,"5,215",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,330,"5,831",지분,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,330,"5,890",지분,
경기도 광명시 하안동,2**,임야,개발제한구역,8m미만,201609,20,1350,"6,240", ,
경기도 광명시 노온사동,산7*,임야,개발제한구역,8m미만,201609,20,383,"6,241",지분,
경기도 광명시 가학동,8*,전,자연녹지지역,8m미만,201609,20,1964,"68,310",지분,
경기도 광명시 가학동,3**,도로,제1종일반주거지역,-,201609,20,3,720, ,
경기도 광명시 옥길동,3*,답,자연녹지지역,8m미만,201609,20,2840,"85,900", ,
경기도 광명시 가학동,1***,도로,자연녹지지역,12m미만,201609,22,49,"3,700",지분,
