번호,실거래정보코드,신고유형,거래원인,물건구분,계약일자,신고일자,지번주소,상세주소,단지명,동,호,토지면적(㎡),건물면적(㎡),거래금액(원),용도지역,지목,건물유형,지분여부,거래지분,매수자유형,매도자유형,매수자거주지,X좌표,Y좌표,지번코드,공부면적(㎡),용도지구,세부토지용도,이용상황,고저,형상,방위,가로조건,도로거리,지가(원/㎡),1년전지가(원/㎡),2년전지가(원/㎡),3년전지가(원/㎡),4년전지가(원/㎡)
11,"	20200820204121040015284",거래신고,매매,토지만 거래,2020-08-18,2020-08-21,경기도 광명시 광명동 12-129,,,,,3,0,"11,742,660",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,,경기도 광명시,187356,442608,"	4121010100100120129",3,,,도로등,평지,부정형,지정되지않음,소로한면,지정되지않음,"808,500","752,400","673,200","646,800","623,700"
12,"	20200120204121040000385",거래신고,매매,토지만 거래,2019-12-14,2020-01-17,경기도 광명시 광명동 12-147,,,,,36.7,0,"141,864,400",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 동작구,187499,442657,"	4121010100100120147",36.7,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"742,500","706,200","640,200","613,800","594,000"
13,"	20200620204121040007130",거래신고,매매,토지만 거래,2020-05-30,2020-06-09,경기도 광명시 광명동 12-147,,,,,36.7,0,"161,860,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 구로구,187498,442657,"	4121010100100120147",36.7,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"742,500","706,200","640,200","613,800","594,000"
14,"	20190320194121040001391",거래신고,매매,토지만 거래,2019-02-26,2019-03-12,경기도 광명시 광명동 12-198,,,,,4.9,0,"4,278,500",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187564,442672,"	4121010100100120198",4.9,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"732,600","699,600","633,600","607,200","587,400"
15,"	20190620194121040004371",거래신고,매매,토지만 거래,2019-06-13,2019-06-14,경기도 광명시 광명동 16-32,,,,,9,0,"8,385,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187737,442630,"	4121010100100160032",9,,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"689,700","656,700","597,300","574,200","557,700"
16,"	20190620194121040003941",거래신고,매매,토지만 거래,2019-06-05,2019-06-07,경기도 광명시 광명동 16-33,,,,,7.9,0,"7,360,160",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187736,442633,"	4121010100100160033",7.9,,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"689,700","656,700","597,300","574,200","557,700"
17,"	20200720204121040009717",거래신고,매매,토지만 거래,2020-06-02,2020-07-01,경기도 광명시 광명동 22-17,,,,,5,0,"5,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,전라북도 전주시 덕진구,187680,442096,"	4121010100100220017",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"656,700","617,100","561,000","537,900","524,700"
18,"	20201120204121040018507",거래신고,매매,토지만 거래,2020-10-21,2020-11-03,경기도 광명시 광명동 27-52,,,,,45.5,0,"80,400,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,충청북도 청주시 상당구,187589,441935,"	4121010100100270052",65,,,단독,완경사,사다리형,북서향,세로한면(불),지정되지않음,"1,766,000","1,644,000","1,451,000","1,392,000","1,357,000"
19,"	20200920204121040017464",거래신고,매매,토지만 거래,2020-09-17,2020-09-29,경기도 광명시 광명동 34-21,,,,,161,0,"1,100,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 용인시 수지구,187568,441775,"	4121010100100340021",161,,,주상용,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"2,999,000","2,727,000","2,424,000","2,351,000","2,286,000"
20,"	20191020194121040009685",거래신고,매매,토지만 거래,2019-10-15,2019-10-21,경기도 광명시 광명동 35-1,,,,,97.3,0,"467,040,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 성남시 수정구,187479,441844,"	4121010100100350001",97.3,,,단독,평지,사다리형,북동향,세로각지(가),지정되지않음,"2,048,000","1,997,000","1,773,000","1,705,000","1,656,000"
21,"	20191020194121040009685",거래신고,매매,토지만 거래,2019-10-15,2019-10-21,경기도 광명시 광명동 35-26,,,,,15,0,"57,960,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 성남시 수정구,187478,441848,"	4121010100100350026",15,,,도로등,평지,부정형,지정되지않음,세로각지(가),지정되지않음,"689,700","672,600",0,0,0
22,"	20190620194121040004370",거래신고,매매,토지만 거래,2019-06-13,2019-06-14,경기도 광명시 광명동 39-20,,,,,16.2,0,"16,248,600",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187578,442540,"	4121010100100390020",16.2,,,도로등,완경사,세로장방,지정되지않음,소로한면,지정되지않음,"782,100","726,000","646,800","620,400","597,300"
23,"	20190620194121040004370",거래신고,매매,토지만 거래,2019-06-13,2019-06-14,경기도 광명시 광명동 39-27,,,,,1,0,"1,003,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187576,442548,"	4121010100100390027",1,,,도로등,완경사,삼각형,지정되지않음,세로한면(불),지정되지않음,"782,100","726,000","646,800","620,400","597,300"
24,"	20200520204121040005705",거래신고,매매,토지만 거래,2020-04-20,2020-05-05,경기도 광명시 광명동 41-68,,,,,99.3,0,"310,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 송파구,187451,441505,"	4121010100100410068","3,758",,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000","617,100","597,300"
25,"	20200520204121040005858",거래신고,매매,토지만 거래,2020-04-27,2020-05-08,경기도 광명시 광명동 41-68,,,,,99.3,0,"310,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187451,441505,"	4121010100100410068","3,758",,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000","617,100","597,300"
26,"	20200920204121040016973",거래신고,매매,토지만 거래,2020-09-05,2020-09-16,경기도 광명시 광명동 41-68,,,,,165.5,0,"467,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 수원시 영통구,187451,441505,"	4121010100100410068","3,758",,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000","617,100","597,300"
27,"	20200920204121040016887",거래신고,매매,토지만 거래,2020-09-10,2020-09-14,경기도 광명시 광명동 41-68,,,,,159.72,0,"481,000,315",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 금천구,187451,441505,"	4121010100100410068","3,758",,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000","617,100","597,300"
28,"	20200820204121040014404",거래신고,매매,토지만 거래,2020-07-28,2020-08-13,경기도 광명시 광명동 41-107,,,,,591,0,"760,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 영등포구,187489,441419,"	4121010100100410107",591,,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"699,600","663,300","608,900","574,200","557,700"
29,"	20201020204121040017394",거래신고,매매,토지만 거래,2020-09-10,2020-09-29,경기도 광명시 광명동 41-135,,,,,17.71,0,"566,534,600",제2종일반주거지역,대,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 용산구,187517,441371,"	4121010100100410135",136,,,다세대,완경사,세로장방,남향,세로각지(가),지정되지않음,"2,139,000","2,028,000","1,836,000","1,764,000","1,713,000"
30,"	20201120204121040019159",거래신고,매매,토지만 거래,2020-09-10,2020-11-26,경기도 광명시 광명동 41-135,,,,,17.71,0,"566,534,600",제2종일반주거지역,대,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 용산구,187517,441371,"	4121010100100410135",136,,,다세대,완경사,세로장방,남향,세로각지(가),지정되지않음,"2,139,000","2,028,000","1,836,000","1,764,000","1,713,000"
31,"	20201020204121040017099",거래신고,매매,토지만 거래,2020-09-17,2020-10-19,경기도 광명시 광명동 41-139,,,,,17.39,0,"531,032,400",제2종일반주거지역,대,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 부천시,187464,441369,"	4121010100100410139",139,,,다세대,완경사,정방형,북향,세로각지(가),지정되지않음,"2,183,000","2,070,000","1,846,000","1,738,000","1,688,000"
32,"	20210120214121040000126",거래신고,매매,토지만 거래,2020-12-26,2021-01-06,경기도 광명시 광명동 41-161,,,,,202,0,"676,542,600",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 구로구,187492,441329,"	4121010100100410161",202,,,다세대,완경사,정방형,남향,세로한면(가),지정되지않음,"2,117,000","2,007,000","1,798,000","1,728,000","1,678,000"
33,"	20210220214121040000851",거래신고,매매,토지만 거래,2021-02-09,2021-02-16,경기도 광명시 광명동 41-161,,,,,20.96,0,"469,636,240",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 용인시 기흥구,187492,441329,"	4121010100100410161",202,,,다세대,완경사,정방형,남향,세로한면(가),지정되지않음,"2,117,000","2,007,000","1,798,000","1,728,000","1,678,000"
34,"	20200920204121040016815",거래신고,매매,토지만 거래,2020-08-22,2020-09-21,경기도 광명시 광명동 41-252,,,,,132,0,"800,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 마포구,187522,441500,"	4121010100100410252",132,,,단독,완경사,세로장방,북서향,세로한면(가),지정되지않음,"2,320,000","2,210,000","1,970,000","1,890,000","1,820,000"
35,"	20201120204121040018863",거래신고,매매,토지만 거래,2020-10-22,2020-11-16,경기도 광명시 광명동 41-278,,,,,129,0,"600,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 강남구,187447,441446,"	4121010100100410278",129,,,주거나지,완경사,세로장방,남동향,세로한면(가),지정되지않음,"2,407,000","2,187,000","1,948,000","1,868,000","1,808,000"
36,"	20201120204121040018863",거래신고,매매,토지만 거래,2020-10-22,2020-11-16,경기도 광명시 광명동 41-281,,,,,116,0,"500,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 강남구,187444,441438,"	4121010100100410281",116,,,주거나지,완경사,사다리형,동향,세로한면(가),지정되지않음,"2,077,000","1,969,000","1,790,000","1,687,000","1,639,000"
37,"	20200320204121040004347",거래신고,매매,토지만 거래,2020-03-13,2020-03-22,경기도 광명시 광명동 41-312,,,,,145,0,"394,500,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,대구광역시 달서구,187329,441556,"	4121010100100410312",145,,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","594,000"
38,"	20201220204121040020419",거래신고,매매,토지만 거래,2020-11-28,2020-12-17,경기도 광명시 광명동 41-367,,,,,31.5,0,"583,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187363,441428,"	4121010100100410367",126,,,다세대,완경사,세로장방,북서향,세로각지(가),지정되지않음,"2,366,000","2,203,000","1,917,000","1,836,000","1,774,000"
39,"	20200520204121040006188",거래신고,매매,토지만 거래,2020-04-26,2020-05-18,경기도 광명시 광명동 41-416,,,,,10,0,"10,600,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 동대문구,187482,441524,"	4121010100100410416",10,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
40,"	20200820204121040014996",거래신고,매매,토지만 거래,2020-08-13,2020-08-13,경기도 광명시 광명동 41-418,,,,,10,0,"19,823,790",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187455,441545,"	4121010100100410418",10,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
41,"	20190120194121050000505",검인,,토지만 거래,2019-01-16,2019-01-24,경기도 광명시 광명동 41-422,,,,,0.55,0,"217,636",제2종일반주거지역,도,나지,지분있음,2.0000/11.0000,국내법인,국내개인,경기도 광명시,187405,441382,"	4121010100100410422",3,,,도로등,완경사,삼각형,지정되지않음,세로각지(가),지정되지않음,"699,600","663,300","597,300","574,200","557,700"
42,"	20190120194121050000504",검인,,토지만 거래,2019-01-16,2019-01-24,경기도 광명시 광명동 41-422,,,,,0.55,0,"217,636",제2종일반주거지역,도,나지,지분있음,2.0000/11.0000,국내법인,국내개인,경기도 광명시,187405,441382,"	4121010100100410422",3,,,도로등,완경사,삼각형,지정되지않음,세로각지(가),지정되지않음,"699,600","663,300","597,300","574,200","557,700"
43,"	20190120194121050000506",검인,,토지만 거래,2019-01-16,2019-01-24,경기도 광명시 광명동 41-422,,,,,0.55,0,"217,636",제2종일반주거지역,도,나지,지분있음,2.0000/11.0000,국내법인,국내개인,경기도 광명시,187405,441382,"	4121010100100410422",3,,,도로등,완경사,삼각형,지정되지않음,세로각지(가),지정되지않음,"699,600","663,300","597,300","574,200","557,700"
44,"	20190620194121050002153",검인,,토지만 거래,2019-06-07,2019-06-18,경기도 광명시 광명동 41-423,,,,,5,0,"1,986,250",제2종일반주거지역,도,,지분있음,1.0000/1.0000,국내법인,국내개인,경기도 광명시,187414,441371,"	4121010100100410423",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"699,600","663,300","597,300","574,200","557,700"
45,"	20190620194121050002154",검인,,토지만 거래,2019-05-31,2019-06-18,경기도 광명시 광명동 41-426,,,,,1.5,0,"587,250",제2종일반주거지역,도,,지분있음,1.0000/2.0000,국내법인,국내개인,경기도 광명시,187458,441374,"	4121010100100410426",3,,,도로등,완경사,삼각형,지정되지않음,세로각지(가),지정되지않음,"699,600","663,300","597,300","574,200","557,700"
46,"	20201120204121040018980",거래신고,매매,토지만 거래,2020-11-15,2020-11-18,경기도 광명시 광명동 41-434,,,,,94.5,0,"482,422,500",제2종일반주거지역,전,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 영등포구,187343,441532,"	4121010100100410434",189,,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","594,000"
47,"	20200820204121040014996",거래신고,매매,토지만 거래,2020-08-13,2020-08-13,경기도 광명시 광명동 41-444,,,,,9,0,"17,841,410",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187453,441521,"	4121010100100410444",9,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
48,"	20200820204121040015015",거래신고,매매,토지만 거래,2020-08-13,2020-08-13,경기도 광명시 광명동 41-446,,,,,12,0,"21,818,180",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187446,441502,"	4121010100100410446",12,,,도로등,완경사,부정형,지정되지않음,세로각지(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
49,"	20200820204121040015015",거래신고,매매,토지만 거래,2020-08-13,2020-08-13,경기도 광명시 광명동 41-447,,,,,10,0,"18,181,820",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187450,441512,"	4121010100100410447",10,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
50,"	20200120194121040012768",거래신고,매매,토지만 거래,2019-12-04,2020-01-15,경기도 광명시 광명동 41-453,,,,,9,0,"6,415,200",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 강서구,187313,441483,"	4121010100100410453",9,,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"765,600","712,800","620,400","594,000","574,200"
51,"	20200420204121040005418",거래신고,매매,토지만 거래,2020-04-22,2020-04-22,경기도 광명시 광명동 41-455,,,,,1,0,"1,200,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 시흥시,187417,441436,"	4121010100100410455",2,,,도로등,완경사,삼각형,지정되지않음,세로한면(가),지정되지않음,"765,600","712,800","620,400","594,000","574,200"
52,"	20200820204121040015022",거래신고,매매,토지만 거래,2020-08-13,2020-08-14,경기도 광명시 광명동 41-458,,,,,6,0,"15,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187362,441589,"	4121010100100410458",6,,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","594,000"
53,"	20200520204121040005656",거래신고,매매,토지만 거래,2020-04-27,2020-04-30,경기도 광명시 광명동 41-462,,,,,5,0,"8,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,인천광역시 연수구,187467,441563,"	4121010100100410462",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
54,"	20200720204121040010463",거래신고,매매,토지만 거래,2020-06-27,2020-07-08,경기도 광명시 광명동 41-462,,,,,5,0,"24,402,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내법인,서울특별시 강서구,187467,441563,"	4121010100100410462",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
55,"	20201120204121040018661",거래신고,매매,토지만 거래,2020-10-09,2020-11-09,경기도 광명시 광명동 41-462,,,,,5,0,"28,686,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 노원구,187467,441563,"	4121010100100410462",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
56,"	20200520204121040005657",거래신고,매매,토지만 거래,2020-04-27,2020-04-30,경기도 광명시 광명동 41-463,,,,,5,0,"8,000,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,인천광역시 연수구,187491,441548,"	4121010100100410463",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
57,"	20200720204121040010463",거래신고,매매,토지만 거래,2020-06-27,2020-07-08,경기도 광명시 광명동 41-463,,,,,5,0,"24,402,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내법인,서울특별시 강서구,187491,441548,"	4121010100100410463",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
58,"	20201120204121040018661",거래신고,매매,토지만 거래,2020-10-09,2020-11-09,경기도 광명시 광명동 41-463,,,,,5,0,"28,686,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 노원구,187491,441548,"	4121010100100410463",5,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
59,"	20190120194121050000508",검인,,토지만 거래,2019-01-21,2019-01-24,경기도 광명시 광명동 41-467,,,,,3.47,0,"1,330,000",제2종일반주거지역,도,나지,지분있음,99.3000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
60,"	20190120194121050000507",검인,,토지만 거래,2019-01-21,2019-01-24,경기도 광명시 광명동 41-467,,,,,3.47,0,"1,330,000",제2종일반주거지역,도,나지,지분있음,99.3000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
61,"	20190620194121050002155",검인,,토지만 거래,2019-06-04,2019-06-18,경기도 광명시 광명동 41-467,,,,,11.56,0,"4,661,710",제2종일반주거지역,도,,지분있음,331.0000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
62,"	20190620194121050002156",검인,,토지만 거래,2019-06-07,2019-06-18,경기도 광명시 광명동 41-467,,,,,4.37,0,"1,760,460",제2종일반주거지역,도,,지분있음,125.0000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
63,"	20190420194121050001767",검인,,토지만 거래,2019-03-04,2019-04-11,경기도 광명시 광명동 41-468,,,,,"1,789",0,"665,955,250",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187478,441360,"	4121010100100410468","1,789",,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"699,600","663,300","608,900",0,0
64,"	20200720204121040012618",거래신고,매매,토지만 거래,2020-07-02,2020-07-28,경기도 광명시 광명동 42-42,,,,,60,0,"480,136,780",제2종일반주거지역,대,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187214,441428,"	4121010100100420042","1,020",,일단지,연립,평지,세로장방,북서향,세로한면(가),지정되지않음,"2,387,000","2,257,000","2,017,000","1,901,000","1,822,000"
65,"	20200820204121040015857",거래신고,매매,토지만 거래,2020-07-02,2020-08-31,경기도 광명시 광명동 42-42,,,,,60,0,"583,087,200",제2종일반주거지역,대,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187214,441428,"	4121010100100420042","1,020",,일단지,연립,평지,세로장방,북서향,세로한면(가),지정되지않음,"2,387,000","2,257,000","2,017,000","1,901,000","1,822,000"
66,"	20200520204121040006661",거래신고,매매,토지만 거래,2020-03-04,2020-05-28,경기도 광명시 광명동 42-47,,,,,39,0,"202,500,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187230,441546,"	4121010100100420047",39,,,도로등,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"874,500","825,000","732,600","702,900","676,500"
67,"	20200420204121040004777",거래신고,매매,토지만 거래,2020-03-04,2020-04-02,경기도 광명시 광명동 42-47,,,,,39,0,"203,500,000",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187230,441546,"	4121010100100420047",39,,,도로등,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"874,500","825,000","732,600","702,900","676,500"
68,"	20201020204121040018287",거래신고,매매,토지만 거래,2020-10-22,2020-10-26,경기도 광명시 광명동 42-47,,,,,39,0,"267,770,156",제2종일반주거지역,도,,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 서초구,187230,441546,"	4121010100100420047",39,,,도로등,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"874,500","825,000","732,600","702,900","676,500"
