번호,실거래정보코드,신고유형,거래원인,물건구분,계약일자,신고일자,지번주소,상세주소,단지명,동,호,토지면적(㎡),건물면적(㎡),거래금액(원),용도지역,지목,건물유형,지분여부,거래지분,매수자유형,매도자유형,매수자거주지,X좌표,Y좌표,지번코드,공부면적(㎡),용도지구,세부토지용도,이용상황,고저,형상,방위,가로조건,도로거리,지가(원/㎡),1년전지가(원/㎡),2년전지가(원/㎡),3년전지가(원/㎡),4년전지가(원/㎡)
1,"	20210120214121040000956",거래신고,매매,토지만 거래,2021-01-16,2021-01-26,경기도 광명시 광명동 7-44,,,,,236,0,"1,320,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 용인시 기흥구,187563,442834,"	4121010100100070044",236,,,주상용,평지,정방형,지정되지않음,소로각지,지정되지않음,"2,822,000","2,666,000","2,474,000","2,389,000","2,329,000"
2,"	20200920204121050004002",검인,,토지만 거래,2020-09-11,2020-09-18,경기도 광명시 광명동 9-70,,,,,20.1,0,"19,738,200",제2종일반주거지역,도,,지분있음,1.0000/1.0000,국내법인,국내개인,경기도 광명시,187793,442918,"	4121010100100090070",20.1,고도지구,,도로등,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"716,100","673,200","603,900","577,500","561,000"
3,"	20200920204121050003320",검인,,토지만 거래,2020-08-28,2020-09-02,경기도 광명시 광명동 9-76,,,,,17.8,0,"17,550,800",제2종일반주거지역,도,,지분있음,1.0000/1.0000,국내법인,국내개인,경기도 광명시,187843,443000,"	4121010100100090076",17.8,고도지구,,도로등,평지,세로장방,지정되지않음,세로한면(가),지정되지않음,"716,100","666,600","607,200","584,100","567,600"
4,"	20190320194121040001392",거래신고,매매,토지만 거래,2019-02-26,2019-03-12,경기도 광명시 광명동 11-143,,,,,9.7,0,"8,841,467",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187688,442749,"	4121010100100110143",19.4,고도지구,,도로등,평지,세로장방,지정되지않음,세로한면(가),지정되지않음,"699,600","660,000","600,600","574,200","557,700"
5,"	20190320194121040001377",거래신고,매매,토지만 거래,2019-02-26,2019-03-11,경기도 광명시 광명동 11-143,,,,,9.7,0,"8,841,467",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187688,442749,"	4121010100100110143",19.4,고도지구,,도로등,평지,세로장방,지정되지않음,세로한면(가),지정되지않음,"699,600","660,000","600,600","574,200","557,700"
6,"	20190320194121040001335",거래신고,매매,토지만 거래,2019-02-26,2019-03-11,경기도 광명시 광명동 11-148,,,,,3.1,0,"2,740,400",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187661,442699,"	4121010100100110148",6.2,,,도로등,완경사,세로장방,지정되지않음,세로한면(불),지정되지않음,"699,600","660,000","600,600","577,500","564,300"
7,"	20190320194121040001343",거래신고,매매,토지만 거래,2019-02-26,2019-03-11,경기도 광명시 광명동 11-148,,,,,3.1,0,"2,740,400",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187661,442699,"	4121010100100110148",6.2,,,도로등,완경사,세로장방,지정되지않음,세로한면(불),지정되지않음,"699,600","660,000","600,600","577,500","564,300"
8,"	20190320194121040001335",거래신고,매매,토지만 거래,2019-02-26,2019-03-11,경기도 광명시 광명동 11-149,,,,,2.5,0,"2,395,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187666,442689,"	4121010100100110149",5,,,도로등,완경사,세로장방,지정되지않음,소로한면,지정되지않음,"699,600","660,000","600,600","577,500","564,300"
9,"	20190320194121040001343",거래신고,매매,토지만 거래,2019-02-26,2019-03-11,경기도 광명시 광명동 11-149,,,,,2.5,0,"2,395,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187666,442689,"	4121010100100110149",5,,,도로등,완경사,세로장방,지정되지않음,소로한면,지정되지않음,"699,600","660,000","600,600","577,500","564,300"
10,"	20200820204121040015284",거래신고,매매,토지만 거래,2020-08-18,2020-08-21,경기도 광명시 광명동 12-49,,,,,84,0,"328,794,490",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,,경기도 광명시,187351,442602,"	4121010100100120049",84,,,도로등,평지,부정형,지정되지않음,소로한면,지정되지않음,"808,500","752,400","673,200","646,800","623,700"
