번호,실거래정보코드,신고유형,거래원인,물건구분,계약일자,신고일자,지번주소,상세주소,단지명,동,호,토지면적(㎡),건물면적(㎡),거래금액(원),용도지역,지목,건물유형,지분여부,거래지분,매수자유형,매도자유형,매수자거주지,X좌표,Y좌표,지번코드,공부면적(㎡),용도지구,세부토지용도,이용상황,고저,형상,방위,가로조건,도로거리,지가(원/㎡),1년전지가(원/㎡),2년전지가(원/㎡),3년전지가(원/㎡),4년전지가(원/㎡)
1,"	20161220164121040014236",거래신고,매매,토지만 거래,2016-10-15,2016-12-13,경기도 광명시 광명동 11-20,,,,,245.3,0,"600,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187547,442813,"	4121010100100110020",245.3,,,주상용,평지,정방형,지정되지않음,소로각지,지정되지않음,"2,822,000","2,666,000","2,474,000","2,389,000","2,329,000"
2,"	20160220164121040001422",거래신고,매매,토지만 거래,2016-01-04,2016-02-29,경기도 광명시 광명동 11-105,,,,,148.4,0,"300,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187495,442764,"	4121010100100110105",148.4,,,주거나지,평지,세로장방,북서향,소로한면,지정되지않음,"2,425,000","2,257,000","2,040,000","1,960,000","1,890,000"
3,"	20170420174121040004460",거래신고,매매,토지만 거래,2017-03-09,2017-04-11,경기도 광명시 광명동 24-95,,,,,14,0,"8,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187679,442071,"	4121010100100240095",14,,,도로등,완경사,부정형,지정되지않음,세로한면(가),지정되지않음,"640,200","607,200","547,800","528,000","514,800"
4,"	20160920164121040010464",거래신고,매매,토지만 거래,2016-07-21,2016-09-06,경기도 광명시 광명동 24-113,,,,,6,0,"3,500,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 노원구,187680,442035,"	4121010100100240113",6,기타지구,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"640,200","607,200","547,800","528,000","514,800"
5,"	20170620174121040009735",거래신고,매매,토지만 거래,2017-05-26,2017-06-29,경기도 광명시 광명동 27-89,,,,,9,0,"5,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187717,441998,"	4121010100100270089",9,,,도로등,평지,부정형,지정되지않음,세로한면(가),지정되지않음,"646,800","617,100","561,000","537,900","524,700"
6,"	20160620164121040005479",거래신고,매매,토지만 거래,2016-05-09,2016-06-21,경기도 광명시 광명동 32-230,,,,,24.5,0,"10,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187580,441883,"	4121010100100320230",24.5,,,도로등,평지,부정형,지정되지않음,세로한면(가),지정되지않음,"683,100","646,800","590,700","567,600","551,100"
7,"	20160920164121040009338",거래신고,매매,토지만 거래,2016-07-06,2016-09-03,경기도 광명시 광명동 33,,,,,872.8,0,"4,800,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 금천구,187561,441761,"	4121010100100330000",811.2,시가지경관지구,,상업용,평지,사다리형,지정되지않음,광대세각,지정되지않음,"4,054,000","3,675,000","3,265,000","3,219,000","3,080,000"
8,"	20180720184121040011559",거래신고,매매,토지만 거래,2018-05-20,2018-07-17,경기도 광명시 광명동 33,,,,,811.2,0,"6,000,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 부천시,187561,441761,"	4121010100100330000",811.2,시가지경관지구,,상업용,평지,사다리형,지정되지않음,광대세각,지정되지않음,"4,054,000","3,675,000","3,265,000","3,219,000","3,080,000"
9,"	20181120184121040020307",거래신고,매매,토지만 거래,2018-10-20,2018-11-15,경기도 광명시 광명동 33-92,,,,,27.15,0,"110,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187584,441762,"	4121010100100330092",54.3,시가지경관지구,,단독,평지,사다리형,북향,세로한면(불),지정되지않음,"1,873,000","1,853,000","1,713,000","1,645,000","1,586,000"
10,"	20181120184121040020308",거래신고,매매,토지만 거래,2018-10-20,2018-11-15,경기도 광명시 광명동 33-92,,,,,27.15,0,"110,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 관악구,187584,441762,"	4121010100100330092",54.3,시가지경관지구,,단독,평지,사다리형,북향,세로한면(불),지정되지않음,"1,873,000","1,853,000","1,713,000","1,645,000","1,586,000"
11,"	20181020184121040018072",거래신고,매매,토지만 거래,2018-10-08,2018-10-08,경기도 광명시 광명동 33-128,,,,,61.6,0,"1,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 부천시,187544,441772,"	4121010100100330128",61.6,시가지경관지구,,도로등,평지,부정형,지정되지않음,세로한면(가),지정되지않음,"1,092,000","990,000","871,200","858,800",0
12,"	20180920184121050003942",검인,,토지만 거래,2018-08-03,2018-09-19,경기도 광명시 광명동 41-157,,,,,21.8,0,"24,165,300",제2종일반주거지역,잡,나지,지분있음,21.8000/218.0000,국내법인,국내개인,경기도 광명시,187519,441331,"	4121010100100410157",218,,무허가주택,단독,완경사,세로장방,남향,세로한면(불),지정되지않음,"1,861,000","1,764,000","1,596,000","1,534,000","1,490,000"
13,"	20180920184121050003943",검인,,토지만 거래,2018-08-20,2018-09-19,경기도 광명시 광명동 41-157,,,,,21.8,0,"24,165,300",제2종일반주거지역,잡,나지,지분있음,21.8000/218.0000,국내법인,국내개인,경기도 광명시,187519,441331,"	4121010100100410157",218,,무허가주택,단독,완경사,세로장방,남향,세로한면(불),지정되지않음,"1,861,000","1,764,000","1,596,000","1,534,000","1,490,000"
14,"	20181120184121050004424",검인,,토지만 거래,2018-11-13,2018-11-15,경기도 광명시 광명동 41-157,,,,,21.8,0,"24,165,300",제2종일반주거지역,잡,나지,지분있음,21.8000/218.0000,국내법인,국내개인,경기도 광명시,187519,441331,"	4121010100100410157",218,,무허가주택,단독,완경사,세로장방,남향,세로한면(불),지정되지않음,"1,861,000","1,764,000","1,596,000","1,534,000","1,490,000"
15,"	20180920184121040017159",거래신고,매매,토지만 거래,2018-09-11,2018-09-13,경기도 광명시 광명동 41-395,,,,,47,0,"113,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187343,441552,"	4121010100100410395",47,,,도로등,완경사,세로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","594,000"
16,"	20180920184121050003944",검인,,토지만 거래,2018-07-31,2018-09-19,경기도 광명시 광명동 41-400,,,,,6.5,0,"2,448,875",제2종일반주거지역,도,나지,지분있음,1.0000/2.0000,국내법인,국내개인,경기도 광명시,187522,441371,"	4121010100100410400",13,,,도로등,완경사,부정형,지정되지않음,맹지,지정되지않음,"699,600","663,300","597,300","574,200","557,700"
17,"	20181020184121050004238",검인,,토지만 거래,2018-10-19,2018-10-23,경기도 광명시 광명동 41-408,,,,,8.25,0,"8,852,250",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,국내법인,국내개인,경기도 광명시,187394,441386,"	4121010100100410408",33,,주택있음,단독,평지,부정형,남동향,세로한면(가),지정되지않음,"2,039,000","1,927,000","1,738,000","1,662,000","1,615,000"
18,"	20181020184121050004237",검인,,토지만 거래,2018-10-19,2018-10-23,경기도 광명시 광명동 41-408,,,,,8.25,0,"8,852,250",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,국내법인,국내개인,경기도 광명시,187394,441386,"	4121010100100410408",33,,주택있음,단독,평지,부정형,남동향,세로한면(가),지정되지않음,"2,039,000","1,927,000","1,738,000","1,662,000","1,615,000"
19,"	20161220164121040014508",거래신고,매매,토지만 거래,2016-11-30,2016-12-21,경기도 광명시 광명동 41-409,,,,,11,0,"500,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187476,441506,"	4121010100100410409",11,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","643,500","617,100","597,300"
20,"	20170220174121040002644",거래신고,매매,토지만 거래,2017-02-02,2017-02-27,경기도 광명시 광명동 41-415,,,,,12,0,"8,500,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187453,441534,"	4121010100100410415",12,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"742,500","702,900","623,700","597,300","577,500"
21,"	20180820184121050003795",검인,매매,토지만 거래,2018-07-26,2018-08-30,경기도 광명시 광명동 41-467,,,,,8.1,0,"6,214,800",제2종일반주거지역,도,나지,지분있음,232.0000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
22,"	20181020184121050004149",검인,,토지만 거래,2018-10-11,2018-10-16,경기도 광명시 광명동 41-467,,,,,6.95,0,"2,665,400",제2종일반주거지역,도,나지,지분있음,199.0000/3894.0000,국내법인,국내개인,경기도 광명시,187408,441404,"	4121010100100410467",136,,,도로등,완경사,가로장방,지정되지않음,세로한면(가),지정되지않음,"795,300","722,700","656,000",0,0
23,"	20181220184121050005382",검인,,토지만 거래,2018-12-21,2018-12-27,경기도 광명시 광명동 42-108,,,,,16.18,0,"6,968,300",제2종일반주거지역,도,나지,지분있음,178.0000/198.0000,국내법인,국내개인,경기도 광명시,187145,441392,"	4121010100100420108",18,,,도로등,평지,가로장방,지정되지않음,소로한면,지정되지않음,"874,500","825,000","732,600","702,900","676,500"
24,"	20180920184121050003945",검인,,토지만 거래,2018-07-27,2018-09-19,경기도 광명시 광명동 42-113,,,,,52,0,"15,942,000",제2종일반주거지역,전,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187247,441458,"	4121010100100420113",52,,,도로등,완경사,삼각형,지정되지않음,세로한면(가),지정되지않음,"765,600","712,800","620,400","594,000","574,200"
25,"	20180920184121050003945",검인,,토지만 거래,2018-07-27,2018-09-19,경기도 광명시 광명동 42-114,,,,,2,0,"15,942,000",제2종일반주거지역,전,나지,지분없음,0.0000/0.0000,국내법인,국내개인,경기도 광명시,187226,441468,"	4121010100100420114",2,,,도로등,평지,삼각형,지정되지않음,세로한면(가),지정되지않음,"765,600","712,800","620,400","594,000","574,200"
26,"	20160420164121040002707",거래신고,매매,토지만 거래,2016-04-08,2016-04-11,경기도 광명시 광명동 42-129,,,,,66,0,"43,560,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,대전광역시 유성구,187259,441503,"	4121010100100420129",66,,,도로등,평지,가로장방,지정되지않음,소로한면,지정되지않음,"874,500","825,000","732,600","702,900","676,500"
27,"	20160320164121050000814",검인,매매,토지만 거래,2016-03-28,2016-03-28,경기도 광명시 광명동 43-74,,,,,4.75,0,"6,159,160",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,,국내개인,경기도 광명시,187184,441443,"	4121010100100430074",,,,,,,,,,,,,,
28,"	20160320164121050000821",검인,매매,토지만 거래,2016-03-29,2016-03-29,경기도 광명시 광명동 43-74,,,,,4.75,0,"6,159,160",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,,국내개인,경기도 광명시,187184,441443,"	4121010100100430074",,,,,,,,,,,,,,
29,"	20160320164121050000822",검인,매매,토지만 거래,2016-03-29,2016-03-29,경기도 광명시 광명동 43-74,,,,,4.75,0,"6,159,160",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,,국내개인,경기도 광명시,187184,441443,"	4121010100100430074",,,,,,,,,,,,,,
30,"	20160320164121050000823",검인,매매,토지만 거래,2016-03-29,2016-03-29,경기도 광명시 광명동 43-74,,,,,4.75,0,"6,159,160",제2종일반주거지역,도,나지,지분있음,1.0000/4.0000,,국내개인,경기도 광명시,187184,441443,"	4121010100100430074",,,,,,,,,,,,,,
31,"	20160620164121050001428",검인,,토지만 거래,2016-05-30,2016-05-31,경기도 광명시 광명동 49-3,,,,,156,0,"278,270,863",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187170,441434,"	4121010100100490003",156,,주차장 등,주차장등,평지,사다리형,지정되지않음,소로각지,지정되지않음,"2,219,000","2,100,000","2,423,000","2,327,000","2,266,000"
32,"	20160620164121050001632",검인,,토지만 거래,2016-06-21,2016-06-24,경기도 광명시 광명동 49-21,,,,,63,0,"156,095,370",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187162,441427,"	4121010100100490021",63,,주차장 등,주차장등,평지,사다리형,지정되지않음,소로각지,지정되지않음,"2,219,000","2,100,000","2,423,000","2,327,000","2,266,000"
33,"	20160520164121050001353",검인,,토지만 거래,2016-05-25,2016-05-26,경기도 광명시 광명동 49-95,,,,,37,0,"101,318,655",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187137,441412,"	4121010100100490095",37,,주차장 등,주차장등,평지,부정형,지정되지않음,소로한면,지정되지않음,"2,219,000","2,100,000","2,548,000","2,447,000","2,382,000"
34,"	20160620164121050001427",검인,,토지만 거래,2016-05-31,2016-05-31,경기도 광명시 광명동 49-95,,,,,37,0,"101,318,655",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187137,441412,"	4121010100100490095",37,,주차장 등,주차장등,평지,부정형,지정되지않음,소로한면,지정되지않음,"2,219,000","2,100,000","2,548,000","2,447,000","2,382,000"
35,"	20180720184121040012293",거래신고,매매,토지만 거래,2018-03-10,2018-07-30,경기도 광명시 광명동 49-139,,,,,2,0,"1,350,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 금천구,187101,441517,"	4121010100100490139",2,,,도로등,평지,부정형,지정되지않음,세로한면(가),지정되지않음,"851,400","782,100","673,200","646,800","620,400"
36,"	20160420164121050000912",검인,매매,토지만 거래,2016-04-14,2016-04-14,경기도 광명시 광명동 49-142,,,,,34,0,"44,086,660",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187174,441433,"	4121010100100490142",,,,,,,,,,,,,,
37,"	20160520164121050001353",검인,,토지만 거래,2016-05-25,2016-05-26,경기도 광명시 광명동 49-157,,,,,99,0,"101,318,655",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187138,441411,"	4121010100100490157",62,,주차장 등,주차장등,평지,사다리형,지정되지않음,소로한면,지정되지않음,"2,219,000","2,100,000","2,548,000","2,447,000","2,382,000"
38,"	20160620164121050001427",검인,,토지만 거래,2016-05-31,2016-05-31,경기도 광명시 광명동 49-157,,,,,62,0,"101,318,655",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,,국내개인,경기도 광명시,187138,441411,"	4121010100100490157",62,,주차장 등,주차장등,평지,사다리형,지정되지않음,소로한면,지정되지않음,"2,219,000","2,100,000","2,548,000","2,447,000","2,382,000"
39,"	20160620164121050001576",검인,,토지만 거래,2016-06-14,2016-06-14,경기도 광명시 광명동 49-158,,,,,18,0,"43,895,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,,국내법인,경기도 광명시,187126,441401,"	4121010100100490158",18,,,도로등,평지,사다리형,지정되지않음,세로한면(가),지정되지않음,"851,400","782,100","673,200","646,800","620,400"
40,"	20160820164121040007948",거래신고,매매,토지만 거래,2016-07-28,2016-08-08,경기도 광명시 광명동 49-160,,,,,2,0,100,제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,국내법인,경상남도 진주시,187052,441463,"	4121010100100490160",2,,,도로등,평지,삼각형,지정되지않음,세로한면(가),지정되지않음,"848,100","792,000","689,700","663,300","642,700"
41,"	20160720164121040006090",거래신고,매매,토지만 거래,2016-05-12,2016-07-04,경기도 광명시 광명동 52-5,,,,,99.5,0,"474,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 부천시,187203,442506,"	4121010100100520005",99.5,,,다세대,평지,정방형,동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,130,000","2,080,000","2,020,000"
42,"	20180720184121040012302",거래신고,매매,토지만 거래,2018-06-12,2018-07-30,경기도 광명시 광명동 52-5,,,,,99.5,0,"550,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187203,442506,"	4121010100100520005",99.5,,,다세대,평지,정방형,동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,130,000","2,080,000","2,020,000"
43,"	20160720164121040006090",거래신고,매매,토지만 거래,2016-05-12,2016-07-04,경기도 광명시 광명동 52-15,,,,,99.5,0,"474,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 부천시,187204,442499,"	4121010100100520015",99.5,,,다세대,평지,정방형,동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,130,000","2,080,000","2,020,000"
44,"	20180720184121040012302",거래신고,매매,토지만 거래,2018-06-12,2018-07-30,경기도 광명시 광명동 52-15,,,,,99.5,0,"550,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187204,442499,"	4121010100100520015",99.5,,,다세대,평지,정방형,동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,130,000","2,080,000","2,020,000"
45,"	20161120164121040013660",거래신고,매매,토지만 거래,2016-10-04,2016-11-29,경기도 광명시 광명동 61-5,,,,,242,0,"950,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187436,442478,"	4121010100100610005",242,,,주상용,평지,가로장방,지정되지않음,소로한면,지정되지않음,"3,979,000","3,780,000","3,685,000","3,538,000","3,444,000"
46,"	20161020164121040012041",거래신고,매매,토지만 거래,2016-09-09,2016-10-27,경기도 광명시 광명동 101-2,,,,,158.7,0,"1,117,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 수원시 영통구,187165,442286,"	4121010100101010002",158.7,시가지경관지구,,상업용,평지,가로장방,지정되지않음,광대로한면,지정되지않음,"5,655,000","5,290,000","4,811,000","4,684,000","4,548,000"
47,"	20180620184121040010365",거래신고,매매,토지만 거래,2018-06-15,2018-06-18,경기도 광명시 광명동 104-2,,,,,104.15,0,"224,100,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 수원시 팔달구,187241,442225,"	4121010100101040002",208.3,,주거용오피스텔,주거기타,평지,정방형,남동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,151,000","2,100,000","2,040,000"
48,"	20180620184121040010362",거래신고,매매,토지만 거래,2018-06-15,2018-06-18,경기도 광명시 광명동 104-3,,,,,88.03,0,"189,400,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 수원시 팔달구,187237,442212,"	4121010100101040003",209.3,,주거용오피스텔,주거기타,평지,정방형,남동향,세로한면(가),지정되지않음,"2,615,000","2,424,000","2,151,000","2,100,000","2,040,000"
49,"	20180320184121040006187",거래신고,매매,토지만 거래,2018-01-28,2018-03-09,경기도 광명시 광명동 126-79,,,,,6.6,0,"35,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187491,441970,"	4121010100101260079",6.6,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"653,400","613,800","561,000","537,900","523,000"
50,"	20160720164121040007230",거래신고,매매,토지만 거래,2016-06-01,2016-07-26,경기도 광명시 광명동 129-10,,창일연립,나,103,49.13,0,"169,000,000",제2종일반주거지역,대,연립,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187411,442032,"	4121010100101290010",786.1,,,주상용,평지,가로장방,지정되지않음,소로한면,지정되지않음,"2,945,000","2,678,000","2,484,000","2,402,000","2,334,000"
51,"	20180620184121040010446",거래신고,매매,토지만 거래,2018-05-23,2018-06-20,경기도 광명시 광명동 141-7,,,,,318.3,0,"3,650,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 동작구,187149,442104,"	4121010100101410007",318.3,시가지경관지구,,상업나지,평지,세로장방,지정되지않음,광대세각,지정되지않음,"7,230,000","6,600,000","5,870,000","5,720,000","5,560,000"
52,"	20180620184121040010446",거래신고,매매,토지만 거래,2018-05-23,2018-06-20,경기도 광명시 광명동 141-8,,,,,323.6,0,"3,650,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 동작구,187145,442095,"	4121010100101410008",323.6,시가지경관지구,,상업나지,평지,세로장방,지정되지않음,광대세각,지정되지않음,"7,230,000","6,600,000","5,870,000","5,720,000","5,560,000"
53,"	20170520174121040006560",거래신고,매매,토지만 거래,2017-05-24,2017-05-25,경기도 광명시 광명동 141-10,,,,,77,0,"455,224,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 서초구,187139,442078,"	4121010100101410010",324.6,시가지경관지구,,상업용,평지,세로장방,지정되지않음,광대세각,지정되지않음,"7,230,000","6,805,000","6,157,000","6,016,000","5,912,000"
54,"	20160320164121040002265",거래신고,매매,토지만 거래,2016-03-28,2016-03-29,경기도 광명시 광명동 146-3,,,,,56.05,0,"254,250,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187001,442208,"	4121010100101460003",112.1,,,다세대,평지,가로장방,남동향,세로한면(가),지정되지않음,"2,390,000","2,240,000","2,000,000","1,920,000","1,840,000"
55,"	20160320164121040002265",거래신고,매매,토지만 거래,2016-03-28,2016-03-29,경기도 광명시 광명동 146-4,,,,,50.75,0,"225,650,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,186997,442195,"	4121010100101460004",101.5,,,다세대,평지,가로장방,남동향,세로한면(가),지정되지않음,"2,390,000","2,240,000","2,000,000","1,920,000","1,840,000"
56,"	20160320164121040002265",거래신고,매매,토지만 거래,2016-03-28,2016-03-29,경기도 광명시 광명동 146-18,,,,,56.2,0,"249,900,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,186998,442201,"	4121010100101460018",112.4,,,다세대,평지,가로장방,남동향,세로한면(가),지정되지않음,"2,390,000","2,240,000","2,000,000","1,920,000","1,840,000"
57,"	20161020164121040010627",거래신고,매매,토지만 거래,2016-08-25,2016-09-30,경기도 광명시 광명동 152-18,,,,,15.8,0,"11,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187410,441937,"	4121010100101520018",15.8,,,도로등,평지,가로장방,지정되지않음,세로한면(가),지정되지않음,"825,000","772,200","679,800","653,400","633,600"
58,"	20170220174121040002362",거래신고,매매,토지만 거래,2017-02-02,2017-02-20,경기도 광명시 광명동 158-117,,,,,240,0,"958,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내법인,,경기도 광명시,187022,442072,"	4121010100101580117",225,,,다세대,평지,가로장방,남동향,세로각지(가),지정되지않음,"2,672,000","2,448,000","2,101,000","2,053,000","1,938,000"
59,"	20180720184121040011330",거래신고,매매,토지만 거래,2018-06-04,2018-07-11,경기도 광명시 광명동 158-194,,,,,154.4,0,"1,515,000,000",일반상업지역,대,나지,지분없음,0.0000/0.0000,국내법인,국내개인,서울특별시 영등포구,186978,441991,"	4121010100101580194",154.4,,,주상나지,평지,세로장방,지정되지않음,세로한면(가),지정되지않음,"4,635,000","4,449,000","4,155,000","4,057,000","3,949,000"
60,"	20170420174121040004657",거래신고,매매,토지만 거래,2017-03-02,2017-04-14,경기도 광명시 광명동 158-920,,,,,182.1,0,"1,080,000,000",준주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 구로구,186676,442039,"	4121010100101580920",182.1,시가지경관지구,,상업용,평지,정방형,지정되지않음,광대로한면,지정되지않음,"4,185,000","3,990,000","3,724,000","3,600,000","3,496,000"
61,"	20171120174121040017182",거래신고,매매,토지만 거래,2017-10-18,2017-11-02,경기도 광명시 광명동 158-1093,,,,,108.4,0,"580,000,000",제2종일반주거지역,대,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,186790,442122,"	4121010100101581093",,,,,,,,,,,,,,
62,"	20170720174121040010368",거래신고,매매,토지만 거래,2017-06-09,2017-07-06,경기도 광명시 광명동 158-1446,,,,,5.3,0,"5,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 영등포구,186758,442067,"	4121010100101581446",5.3,,,도로등,평지,가로장방,지정되지않음,세로한면(가),지정되지않음,"1,007,000","963,000","878,700","846,100","815,300"
63,"	20180920184121040017039",거래신고,매매,토지만 거래,2018-09-10,2018-09-11,경기도 광명시 광명동 158-1449,,,,,21.4,0,"55,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187117,441550,"	4121010100101581449",21.4,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"811,800","739,200","646,800","620,400","597,300"
64,"	20181020184121040017797",거래신고,매매,토지만 거래,2018-07-17,2018-10-01,경기도 광명시 광명동 158-1470,,,,,8.3,0,"5,000,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 구로구,187015,442086,"	4121010100101581470",8.3,,,도로등,평지,세로장방,지정되지않음,세로한면(불),지정되지않음,"864,600","792,000","679,800","653,400","627,000"
65,"	20170720174121040012498",거래신고,매매,토지만 거래,2017-07-24,2017-07-25,경기도 광명시 광명동 158-1475,,,,,8.8,0,"6,500,000",일반상업지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,186996,441624,"	4121010100101581475",8.8,,,도로등,평지,가로장방,지정되지않음,세로각지(가),지정되지않음,"864,600","808,500","706,200","683,100","663,300"
66,"	20171220174121040018504",거래신고,매매,토지만 거래,2017-09-16,2017-12-07,경기도 광명시 광명동 158-1491,,,,,9,0,"6,200,000",일반상업지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,186993,441616,"	4121010100101581491",9,,,도로등,평지,가로장방,지정되지않음,세로한면(가),지정되지않음,"864,600","808,500","706,200","683,100","663,300"
67,"	20160420164121040002811",거래신고,매매,토지만 거래,2016-02-22,2016-04-14,경기도 광명시 광명동 158-1512,,,,,11.6,0,"40,254,820",준주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 구로구,186841,441916,"	4121010100101581512",11.6,,,도로등,평지,부정형,지정되지않음,세로한면(불),지정되지않음,"871,200","808,500","732,600","709,500","679,800"
68,"	20181120184121040020514",거래신고,매매,토지만 거래,2018-11-23,2018-11-23,경기도 광명시 광명동 158-1514,,,,,1.38,0,"920,000",제2종일반주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,경기도 광명시,187480,441603,"	4121010100101581514",8.3,,,도로등,완경사,부정형,지정되지않음,세로한면(불),지정되지않음,"775,500","735,900","656,700","630,300","603,900"
69,"	20160920164121040010673",거래신고,매매,토지만 거래,2016-06-21,2016-08-09,경기도 광명시 광명동 159-139,,,,,4,0,"4,000,000",준주거지역,도,나지,지분없음,0.0000/0.0000,국내개인,국내개인,서울특별시 양천구,186602,442109,"	4121010100101590139",4,시가지경관지구,,도로등,평지,부정형,지정되지않음,세로한면(가),지정되지않음,"1,181,000","1,131,000","1,056,000","1,023,000","993,300"
