행정구역별(시군구),가구주의 성별,가구주의 연령별,항목,년도,가구수,시군구_TF,행정구역별(상세)
　　　중구,계,합계,3세대가구-부부+미혼자녀+부친,2016,153.0,1,서울특별시  중구
　　　중구,계,합계,3세대가구-부부+미혼자녀+모친,2016,800.0,1,서울특별시  중구
　　　중구,계,합계,3세대가구-기타,2016,1033.0,1,서울특별시  중구
　　　중구,계,합계,4세대이상 가구,2016,16.0,1,서울특별시  중구
　　　중구,계,합계,1인가구,2016,19671.0,1,서울특별시  중구
　　　중구,계,합계,비친족가구,2016,1174.0,1,서울특별시  중구
　　　용산구,계,합계,일반가구,2016,90164.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-부부,2016,12465.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-부부+미혼형제자매,2016,123.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-부부+기타친인척,2016,25.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-가구주+미혼형제자매,2016,1688.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-가구주+기타친인척,2016,115.0,1,서울특별시  용산구
　　　용산구,계,합계,1세대가구-기타,2016,660.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-부부+미혼자녀,2016,23335.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-부+미혼자녀,2016,1988.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-모+미혼자녀,2016,6744.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-부부+양친,2016,87.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-부부+한부모,2016,409.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,353.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-조부모+미혼손자녀,2016,195.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,314.0,1,서울특별시  용산구
　　　용산구,계,합계,2세대가구-기타,2016,3821.0,1,서울특별시  용산구
　　　용산구,계,합계,3세대가구-부부+미혼자녀+양친,2016,451.0,1,서울특별시  용산구
　　　용산구,계,합계,3세대가구-부부+미혼자녀+부친,2016,284.0,1,서울특별시  용산구
　　　용산구,계,합계,3세대가구-부부+미혼자녀+모친,2016,1455.0,1,서울특별시  용산구
　　　용산구,계,합계,3세대가구-기타,2016,1779.0,1,서울특별시  용산구
　　　용산구,계,합계,4세대이상 가구,2016,32.0,1,서울특별시  용산구
　　　용산구,계,합계,1인가구,2016,31641.0,1,서울특별시  용산구
　　　용산구,계,합계,비친족가구,2016,2200.0,1,서울특별시  용산구
　　　성동구,계,합계,일반가구,2016,116401.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-부부,2016,15749.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-부부+미혼형제자매,2016,148.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-부부+기타친인척,2016,28.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-가구주+미혼형제자매,2016,2123.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-가구주+기타친인척,2016,128.0,1,서울특별시  성동구
　　　성동구,계,합계,1세대가구-기타,2016,576.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-부부+미혼자녀,2016,35283.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-부+미혼자녀,2016,2861.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-모+미혼자녀,2016,8613.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-부부+양친,2016,121.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-부부+한부모,2016,534.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,578.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-조부모+미혼손자녀,2016,228.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,385.0,1,서울특별시  성동구
　　　성동구,계,합계,2세대가구-기타,2016,4492.0,1,서울특별시  성동구
　　　성동구,계,합계,3세대가구-부부+미혼자녀+양친,2016,716.0,1,서울특별시  성동구
　　　성동구,계,합계,3세대가구-부부+미혼자녀+부친,2016,398.0,1,서울특별시  성동구
　　　성동구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2049.0,1,서울특별시  성동구
　　　성동구,계,합계,3세대가구-기타,2016,2458.0,1,서울특별시  성동구
　　　성동구,계,합계,4세대이상 가구,2016,51.0,1,서울특별시  성동구
　　　성동구,계,합계,1인가구,2016,37074.0,1,서울특별시  성동구
　　　성동구,계,합계,비친족가구,2016,1808.0,1,서울특별시  성동구
　　　광진구,계,합계,일반가구,2016,146196.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-부부,2016,17289.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-부부+미혼형제자매,2016,125.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-부부+기타친인척,2016,24.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-가구주+미혼형제자매,2016,3204.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-가구주+기타친인척,2016,150.0,1,서울특별시  광진구
　　　광진구,계,합계,1세대가구-기타,2016,658.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-부부+미혼자녀,2016,41941.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-부+미혼자녀,2016,3456.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-모+미혼자녀,2016,11253.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-부부+양친,2016,126.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-부부+한부모,2016,515.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,619.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-조부모+미혼손자녀,2016,228.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,349.0,1,서울특별시  광진구
　　　광진구,계,합계,2세대가구-기타,2016,5043.0,1,서울특별시  광진구
　　　광진구,계,합계,3세대가구-부부+미혼자녀+양친,2016,708.0,1,서울특별시  광진구
　　　광진구,계,합계,3세대가구-부부+미혼자녀+부친,2016,442.0,1,서울특별시  광진구
　　　광진구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2271.0,1,서울특별시  광진구
　　　광진구,계,합계,3세대가구-기타,2016,2591.0,1,서울특별시  광진구
　　　광진구,계,합계,4세대이상 가구,2016,48.0,1,서울특별시  광진구
　　　광진구,계,합계,1인가구,2016,53169.0,1,서울특별시  광진구
　　　광진구,계,합계,비친족가구,2016,1987.0,1,서울특별시  광진구
　　　동대문구,계,합계,일반가구,2016,145179.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-부부,2016,18268.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-부부+미혼형제자매,2016,133.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-부부+기타친인척,2016,28.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-가구주+미혼형제자매,2016,2295.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-가구주+기타친인척,2016,138.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1세대가구-기타,2016,753.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-부부+미혼자녀,2016,39640.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-부+미혼자녀,2016,3454.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-모+미혼자녀,2016,10609.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-부부+양친,2016,152.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-부부+한부모,2016,624.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,587.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-조부모+미혼손자녀,2016,254.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,427.0,1,서울특별시  동대문구
　　　동대문구,계,합계,2세대가구-기타,2016,5593.0,1,서울특별시  동대문구
　　　동대문구,계,합계,3세대가구-부부+미혼자녀+양친,2016,964.0,1,서울특별시  동대문구
　　　동대문구,계,합계,3세대가구-부부+미혼자녀+부친,2016,484.0,1,서울특별시  동대문구
　　　동대문구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2667.0,1,서울특별시  동대문구
　　　동대문구,계,합계,3세대가구-기타,2016,3071.0,1,서울특별시  동대문구
　　　동대문구,계,합계,4세대이상 가구,2016,53.0,1,서울특별시  동대문구
　　　동대문구,계,합계,1인가구,2016,52650.0,1,서울특별시  동대문구
　　　동대문구,계,합계,비친족가구,2016,2335.0,1,서울특별시  동대문구
　　　중랑구,계,합계,일반가구,2016,157571.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-부부,2016,22152.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-부부+미혼형제자매,2016,172.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-부부+기타친인척,2016,34.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-가구주+미혼형제자매,2016,2383.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-가구주+기타친인척,2016,131.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1세대가구-기타,2016,787.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-부부+미혼자녀,2016,48640.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-부+미혼자녀,2016,4801.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-모+미혼자녀,2016,14515.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-부부+양친,2016,151.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-부부+한부모,2016,748.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,659.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-조부모+미혼손자녀,2016,283.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,483.0,1,서울특별시  중랑구
　　　중랑구,계,합계,2세대가구-기타,2016,6394.0,1,서울특별시  중랑구
　　　중랑구,계,합계,3세대가구-부부+미혼자녀+양친,2016,937.0,1,서울특별시  중랑구
　　　중랑구,계,합계,3세대가구-부부+미혼자녀+부친,2016,609.0,1,서울특별시  중랑구
　　　중랑구,계,합계,3세대가구-부부+미혼자녀+모친,2016,2854.0,1,서울특별시  중랑구
　　　중랑구,계,합계,3세대가구-기타,2016,3455.0,1,서울특별시  중랑구
　　　중랑구,계,합계,4세대이상 가구,2016,55.0,1,서울특별시  중랑구
　　　중랑구,계,합계,1인가구,2016,45717.0,1,서울특별시  중랑구
　　　중랑구,계,합계,비친족가구,2016,1611.0,1,서울특별시  중랑구
　　　성북구,계,합계,일반가구,2016,174370.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-부부,2016,22625.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-부부+미혼형제자매,2016,145.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-부부+기타친인척,2016,43.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-가구주+미혼형제자매,2016,2629.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-가구주+기타친인척,2016,161.0,1,서울특별시  성북구
　　　성북구,계,합계,1세대가구-기타,2016,876.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-부부+미혼자녀,2016,54793.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-부+미혼자녀,2016,4117.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-모+미혼자녀,2016,13710.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-부부+양친,2016,157.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-부부+한부모,2016,753.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-부부+미혼자녀+부부미혼형제자매,2016,764.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-조부모+미혼손자녀,2016,367.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-조부 또는 조모+미혼손자녀,2016,563.0,1,서울특별시  성북구
　　　성북구,계,합계,2세대가구-기타,2016,6961.0,1,서울특별시  성북구
　　　성북구,계,합계,3세대가구-부부+미혼자녀+양친,2016,1161.0,1,서울특별시  성북구
　　　성북구,계,합계,3세대가구-부부+미혼자녀+부친,2016,671.0,1,서울특별시  성북구
　　　성북구,계,합계,3세대가구-부부+미혼자녀+모친,2016,3458.0,1,서울특별시  성북구
　　　성북구,계,합계,3세대가구-기타,2016,3831.0,1,서울특별시  성북구
　　　성북구,계,합계,4세대이상 가구,2016,75.0,1,서울특별시  성북구
　　　성북구,계,합계,1인가구,2016,54117.0,1,서울특별시  성북구
　　　성북구,계,합계,비친족가구,2016,2393.0,1,서울특별시  성북구
　　　강북구,계,합계,일반가구,2016,125580.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-부부,2016,17609.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-부부+미혼형제자매,2016,130.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-부부+기타친인척,2016,29.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-가구주+미혼형제자매,2016,1749.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-가구주+기타친인척,2016,106.0,1,서울특별시  강북구
　　　강북구,계,합계,1세대가구-기타,2016,716.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-부부+미혼자녀,2016,36509.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-부+미혼자녀,2016,3804.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-모+미혼자녀,2016,12687.0,1,서울특별시  강북구
　　　강북구,계,합계,2세대가구-부부+양친,2016,123.0,1,서울특별시  강북구
